Epoch,TrainRMSE,ValidRMSE
1,1.043356,0.979635
2,0.928084,0.910580
3,0.888820,0.893284
4,0.872286,0.884413
5,0.861105,0.878142
6,0.851958,0.873488
7,0.843818,0.869478
8,0.836756,0.866349
9,0.830576,0.863755
10,0.825019,0.861756
11,0.819850,0.859861
12,0.815461,0.858846
13,0.811391,0.857730
14,0.807674,0.856971
15,0.804929,0.856366
16,0.801764,0.855628
17,0.798943,0.855160
18,0.796853,0.854931
19,0.795088,0.854682
20,0.793606,0.854553
21,0.791694,0.854353
22,0.790134,0.854251
23,0.789192,0.854180
24,0.787924,0.854071
25,0.786849,0.853968
26,0.785864,0.853781
27,0.784664,0.853887
28,0.784474,0.853840
29,0.783833,0.853783
30,0.782720,0.853579
31,0.782566,0.853564
32,0.781862,0.853378
33,0.781484,0.853380
34,0.780498,0.853226
35,0.780404,0.853305
36,0.780218,0.853229
37,0.779592,0.853329
38,0.779456,0.853215
39,0.778822,0.853116
40,0.779119,0.852913
41,0.778767,0.852884
42,0.778444,0.852880
43,0.777853,0.852871
44,0.777884,0.852847
45,0.777494,0.852887
46,0.777679,0.852907
47,0.777193,0.852831
48,0.777210,0.852906
49,0.776725,0.852788
50,0.776442,0.852726
51,0.776882,0.852762
52,0.776783,0.852632
53,0.776385,0.852614
54,0.776400,0.852526
55,0.776009,0.852483
56,0.775994,0.852382
57,0.775822,0.852382
58,0.775546,0.852377
59,0.775558,0.852432
60,0.775571,0.852418
61,0.775751,0.852449
62,0.775620,0.852594
63,0.775662,0.852469
64,0.775169,0.852179
65,0.774827,0.852203
66,0.775043,0.852133
67,0.775128,0.852099
68,0.774695,0.852051
69,0.774933,0.852007
70,0.774704,0.851901
71,0.775043,0.851798
72,0.774707,0.851803
73,0.774400,0.851786
74,0.774622,0.851811
75,0.774583,0.851742
76,0.774191,0.851690
77,0.774740,0.851736
78,0.774568,0.851813
79,0.774269,0.851733
80,0.774147,0.851572
81,0.774398,0.851422
82,0.774182,0.851408
83,0.773983,0.851529
84,0.774042,0.851579
85,0.773808,0.851511
86,0.773767,0.851437
87,0.773857,0.851510
88,0.773834,0.851528
89,0.774225,0.851435
90,0.773762,0.851477
91,0.773856,0.851348
92,0.773748,0.851172
93,0.773695,0.851217
94,0.773676,0.851166
95,0.773665,0.851317
96,0.773420,0.851413
97,0.773853,0.851215
98,0.773466,0.851095
99,0.773690,0.851263
100,0.773800,0.851338
